PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29315614","Defining the phenotypic spectrum of SLC6A1 mutations","Johannesen KM, Gardella E, Linnankivi T, Courage C, de Saint Martin A, Lehesjoki AE, Mignot C, Afenjar A, Lesca G, Abi-Warde MT, Chelly J, Piton A, Merritt JL 2nd, Rodan LH, Tan WH, Bird LM, Nespeca M, Gleeson JG, Yoo Y, Choi M, Chae JH, Czapansky-Beilman D, Reichert SC, Pendziwiat M, Verhoeven JS, Schelhaas HJ, Devinsky O, Christensen J, Specchio N, Trivisano M, Weber YG, Nava C, Keren B, Doummar D, Schaefer E, Hopkins S, Dubbs H, Shaw JE, Pisani L, Myers CT, Tang S, Tang S, Pal DK, Millichap JJ, Carvill GL, Helbig KL, Mecarelli O, Striano P, Helbig I, Rubboli G, Mefford HC, Møller RS.","Epilepsia. 2018 Feb;59(2):389-402. doi: 10.1111/epi.13986. Epub 2018 Jan 8.","Johannesen KM","Epilepsia","2018","2018/01/10","PMC5912688","NIHMS954129","10.1111/epi.13986"
"28846756","Prevalence of Pathogenic Copy Number Variation in Adults With Pediatric-Onset Epilepsy and Intellectual Disability","Borlot F, Regan BM, Bassett AS, Stavropoulos DJ, Andrade DM.","JAMA Neurol. 2017 Nov 1;74(11):1301-1311. doi: 10.1001/jamaneurol.2017.1775.","Borlot F","JAMA Neurol","2017","2017/08/29","PMC5710585","","10.1001/jamaneurol.2017.1775"
"33000761","The phenotype and treatment of SCN2A-related developmental and epileptic encephalopathy","Kim HJ, Yang D, Kim SH, Kim B, Kim HD, Lee JS, Choi JR, Lee ST, Kang HC.","Epileptic Disord. 2020 Oct 1;22(5):563-570. doi: 10.1684/epd.2020.1199.","Kim HJ","Epileptic Disord","2020","2020/10/01","","","10.1684/epd.2020.1199"
"27281533","TBC1D24 genotype-phenotype correlation: Epilepsies and other neurologic features","Balestrini S, Milh M, Castiglioni C, Lüthy K, Finelli MJ, Verstreken P, Cardon A, Stražišar BG, Holder JL Jr, Lesca G, Mancardi MM, Poulat AL, Repetto GM, Banka S, Bilo L, Birkeland LE, Bosch F, Brockmann K, Cross JH, Doummar D, Félix TM, Giuliano F, Hori M, Hüning I, Kayserili H, Kini U, Lees MM, Meenakshi G, Mewasingh L, Pagnamenta AT, Peluso S, Mey A, Rice GM, Rosenfeld JA, Taylor JC, Troester MM, Stanley CM, Ville D, Walkiewicz M, Falace A, Fassio A, Lemke JR, Biskup S, Tardif J, Ajeawung NF, Tolun A, Corbett M, Gecz J, Afawi Z, Howell KB, Oliver KL, Berkovic SF, Scheffer IE, de Falco FA, Oliver PL, Striano P, Zara F, Campeau PM, Sisodiya SM.","Neurology. 2016 Jul 5;87(1):77-85. doi: 10.1212/WNL.0000000000002807. Epub 2016 Jun 8.","Balestrini S","Neurology","2016","2016/06/10","PMC4932231","","10.1212/WNL.0000000000002807"
"25356899","De novo mutations in moderate or severe intellectual disability","Hamdan FF, Srour M, Capo-Chichi JM, Daoud H, Nassif C, Patry L, Massicotte C, Ambalavanan A, Spiegelman D, Diallo O, Henrion E, Dionne-Laporte A, Fougerat A, Pshezhetsky AV, Venkateswaran S, Rouleau GA, Michaud JL.","PLoS Genet. 2014 Oct 30;10(10):e1004772. doi: 10.1371/journal.pgen.1004772. eCollection 2014 Oct.","Hamdan FF","PLoS Genet","2014","2014/10/31","PMC4214635","","10.1371/journal.pgen.1004772"
"30185235","Novel and de novo mutations in pediatric refractory epilepsy","Liu J, Tong L, Song S, Niu Y, Li J, Wu X, Zhang J, Zai CC, Luo F, Wu J, Li H, Wong AHC, Sun R, Liu F, Li B.","Mol Brain. 2018 Sep 5;11(1):48. doi: 10.1186/s13041-018-0392-5.","Liu J","Mol Brain","2018","2018/09/07","PMC6125990","","10.1186/s13041-018-0392-5"
"29056246","Diagnostic Yield From 339 Epilepsy Patients Screened on a Clinical Gene Panel","Butler KM, da Silva C, Alexander JJ, Hegde M, Escayg A.","Pediatr Neurol. 2017 Dec;77:61-66. doi: 10.1016/j.pediatrneurol.2017.09.003. Epub 2017 Sep 6.","Butler KM","Pediatr Neurol","2017","2017/10/24","PMC6885003","NIHMS914490","10.1016/j.pediatrneurol.2017.09.003"
"31422286","Intragenic CNTN4 copy number variants associated with a spectrum of neurobehavioral phenotypes","Zhang SQ, Fleischer J, Al-Kateb H, Mito Y, Amarillo I, Shinawi M.","Eur J Med Genet. 2020 Mar;63(3):103736. doi: 10.1016/j.ejmg.2019.103736. Epub 2019 Aug 15.","Zhang SQ","Eur J Med Genet","2020","2019/08/19","","","10.1016/j.ejmg.2019.103736"
"33280099","FBXO28 causes developmental and epileptic encephalopathy with profound intellectual disability","Schneider AL, Myers CT, Muir AM, Calvert S, Basinger A, Perry MS, Rodan L, Helbig KL, Chambers C, Gorman KM, King MD, Donkervoort S, Soldatos A, Bönnemann CG, Spataro N, Gabau E, Arellano M, Cappuccio G, Brunetti-Pierri N, Rossignol E, Hamdan FF, Michaud JL, Balak C, Mefford HC, Scheffer IE.","Epilepsia. 2021 Jan;62(1):e13-e21. doi: 10.1111/epi.16784. Epub 2020 Dec 6.","Schneider AL","Epilepsia","2021","2020/12/06","","","10.1111/epi.16784"
"27864847","Diagnostic Targeted Resequencing in 349 Patients with Drug-Resistant Pediatric Epilepsies Identifies Causative Mutations in 30 Different Genes","Parrini E, Marini C, Mei D, Galuppi A, Cellini E, Pucatti D, Chiti L, Rutigliano D, Bianchini C, Virdò S, De Vita D, Bigoni S, Barba C, Mari F, Montomoli M, Pisano T, Rosati A; Clinical Study Group, Guerrini R.","Hum Mutat. 2017 Feb;38(2):216-225. doi: 10.1002/humu.23149. Epub 2016 Dec 9.","Parrini E","Hum Mutat","2017","2016/11/20","","","10.1002/humu.23149"
