PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30093711","The landscape of epilepsy-related GATOR1 variants","Baldassari S, Picard F, Verbeek NE, van Kempen M, Brilstra EH, Lesca G, Conti V, Guerrini R, Bisulli F, Licchetta L, Pippucci T, Tinuper P, Hirsch E, de Saint Martin A, Chelly J, Rudolf G, Chipaux M, Ferrand-Sorbets S, Dorfmüller G, Sisodiya S, Balestrini S, Schoeler N, Hernandez-Hernandez L, Krithika S, Oegema R, Hagebeuk E, Gunning B, Deckers C, Berghuis B, Wegner I, Niks E, Jansen FE, Braun K, de Jong D, Rubboli G, Talvik I, Sander V, Uldall P, Jacquemont ML, Nava C, Leguern E, Julia S, Gambardella A, d'Orsi G, Crichiutti G, Faivre L, Darmency V, Benova B, Krsek P, Biraben A, Lebre AS, Jennesson M, Sattar S, Marchal C, Nordli DR Jr, Lindstrom K, Striano P, Lomax LB, Kiss C, Bartolomei F, Lepine AF, Schoonjans AS, Stouffs K, Jansen A, Panagiotakaki E, Ricard-Mousnier B, Thevenon J, de Bellescize J, Catenoix H, Dorn T, Zenker M, Müller-Schlüter K, Brandt C, Krey I, Polster T, Wolff M, Balci M, Rostasy K, Achaz G, Zacher P, Becher T, Cloppenborg T, Yuskaitis CJ, Weckhuysen S, Poduri A, Lemke JR, Møller RS, Baulac S.","Genet Med. 2019 Feb;21(2):398-408. doi: 10.1038/s41436-018-0060-2. Epub 2018 Aug 10.","Baldassari S","Genet Med","2019","2018/08/11","PMC6292495","EMS77598","10.1038/s41436-018-0060-2"
"30544257","GRIN2A-related disorders: genotype and functional consequence predict phenotype","Strehlow V, Heyne HO, Vlaskamp DRM, Marwick KFM, Rudolf G, de Bellescize J, Biskup S, Brilstra EH, Brouwer OF, Callenbach PMC, Hentschel J, Hirsch E, Kind PC, Mignot C, Platzer K, Rump P, Skehel PA, Wyllie DJA, Hardingham GE, van Ravenswaaij-Arts CMA, Lesca G, Lemke JR; GRIN2A study group.","Brain. 2019 Jan 1;142(1):80-92. doi: 10.1093/brain/awy304.","Strehlow V","Brain","2019","2018/12/14","PMC6308310","","10.1093/brain/awy304"
"29542386","Potassium Channel Gain of Function in Epilepsy: An Unresolved Paradox","Niday Z, Tzingounis AV.","Neuroscientist. 2018 Aug;24(4):368-380. doi: 10.1177/1073858418763752. Epub 2018 Mar 15.","Niday Z","Neuroscientist","2018","2018/03/16","PMC6045440","NIHMS964735","10.1177/1073858418763752"
"25356899","De novo mutations in moderate or severe intellectual disability","Hamdan FF, Srour M, Capo-Chichi JM, Daoud H, Nassif C, Patry L, Massicotte C, Ambalavanan A, Spiegelman D, Diallo O, Henrion E, Dionne-Laporte A, Fougerat A, Pshezhetsky AV, Venkateswaran S, Rouleau GA, Michaud JL.","PLoS Genet. 2014 Oct 30;10(10):e1004772. doi: 10.1371/journal.pgen.1004772. eCollection 2014 Oct.","Hamdan FF","PLoS Genet","2014","2014/10/31","PMC4214635","","10.1371/journal.pgen.1004772"
"31079897","Heterozygous Variants in KMT2E Cause a Spectrum of Neurodevelopmental Disorders and Epilepsy","O'Donnell-Luria AH, Pais LS, Faundes V, Wood JC, Sveden A, Luria V, Abou Jamra R, Accogli A, Amburgey K, Anderlid BM, Azzarello-Burri S, Basinger AA, Bianchini C, Bird LM, Buchert R, Carre W, Ceulemans S, Charles P, Cox H, Culliton L, Currò A; Deciphering Developmental Disorders (DDD) Study, Demurger F, Dowling JJ, Duban-Bedu B, Dubourg C, Eiset SE, Escobar LF, Ferrarini A, Haack TB, Hashim M, Heide S, Helbig KL, Helbig I, Heredia R, Héron D, Isidor B, Jonasson AR, Joset P, Keren B, Kok F, Kroes HY, Lavillaureix A, Lu X, Maas SM, Maegawa GHB, Marcelis CLM, Mark PR, Masruha MR, McLaughlin HM, McWalter K, Melchinger EU, Mercimek-Andrews S, Nava C, Pendziwiat M, Person R, Ramelli GP, Ramos LLP, Rauch A, Reavey C, Renieri A, Rieß A, Sanchez-Valle A, Sattar S, Saunders C, Schwarz N, Smol T, Srour M, Steindl K, Syrbe S, Taylor JC, Telegrafi A, Thiffault I, Trauner DA, van der Linden H Jr, van Koningsbruggen S, Villard L, Vogel I, Vogt J, Weber YG, Wentzensen IM, Widjaja E, Zak J, Baxter S, Banka S, Rodan LH.","Am J Hum Genet. 2019 Jun 6;104(6):1210-1222. doi: 10.1016/j.ajhg.2019.03.021. Epub 2019 May 9.","O'Donnell-Luria AH","Am J Hum Genet","2019","2019/05/14","PMC6556837","","10.1016/j.ajhg.2019.03.021"
"28379373","Genetic and phenotypic heterogeneity suggest therapeutic implications in SCN2A-related disorders","Wolff M, Johannesen KM, Hedrich UBS, Masnada S, Rubboli G, Gardella E, Lesca G, Ville D, Milh M, Villard L, Afenjar A, Chantot-Bastaraud S, Mignot C, Lardennois C, Nava C, Schwarz N, Gérard M, Perrin L, Doummar D, Auvin S, Miranda MJ, Hempel M, Brilstra E, Knoers N, Verbeek N, van Kempen M, Braun KP, Mancini G, Biskup S, Hörtnagel K, Döcker M, Bast T, Loddenkemper T, Wong-Kisiel L, Baumeister FM, Fazeli W, Striano P, Dilena R, Fontana E, Zara F, Kurlemann G, Klepper J, Thoene JG, Arndt DH, Deconinck N, Schmitt-Mechelke T, Maier O, Muhle H, Wical B, Finetti C, Brückner R, Pietz J, Golla G, Jillella D, Linnet KM, Charles P, Moog U, Õiglane-Shlik E, Mantovani JF, Park K, Deprez M, Lederer D, Mary S, Scalais E, Selim L, Van Coster R, Lagae L, Nikanorova M, Hjalgrim H, Korenke GC, Trivisano M, Specchio N, Ceulemans B, Dorn T, Helbig KL, Hardies K, Stamberger H, de Jonghe P, Weckhuysen S, Lemke JR, Krägeloh-Mann I, Helbig I, Kluger G, Lerche H, Møller RS.","Brain. 2017 May 1;140(5):1316-1336. doi: 10.1093/brain/awx054.","Wolff M","Brain","2017","2017/04/06","","","10.1093/brain/awx054"
"32001716","Loss-of-function mutations in UDP-Glucose 6-Dehydrogenase cause recessive developmental epileptic encephalopathy","Hengel H, Bosso-Lefèvre C, Grady G, Szenker-Ravi E, Li H, Pierce S, Lebigot É, Tan TT, Eio MY, Narayanan G, Utami KH, Yau M, Handal N, Deigendesch W, Keimer R, Marzouqa HM, Gunay-Aygun M, Muriello MJ, Verhelst H, Weckhuysen S, Mahida S, Naidu S, Thomas TG, Lim JY, Tan ES, Haye D, Willemsen MAAP, Oegema R, Mitchell WG, Pierson TM, Andrews MV, Willing MC, Rodan LH, Barakat TS, van Slegtenhorst M, Gavrilova RH, Martinelli D, Gilboa T, Tamim AM, Hashem MO, AlSayed MD, Abdulrahim MM, Al-Owain M, Awaji A, Mahmoud AAH, Faqeih EA, Asmari AA, Algain SM, Jad LA, Aldhalaan HM, Helbig I, Koolen DA, Riess A, Kraegeloh-Mann I, Bauer P, Gulsuner S, Stamberger H, Ng AYJ, Tang S, Tohari S, Keren B, Schultz-Rogers LE, Klee EW, Barresi S, Tartaglia M, Mor-Shaked H, Maddirevula S, Begtrup A, Telegrafi A, Pfundt R, Schüle R, Ciruna B, Bonnard C, Pouladi MA, Stewart JC, Claridge-Chang A, Lefeber DJ, Alkuraya FS, Mathuru AS, Venkatesh B, Barycki JJ, Simpson MA, Jamuar SS, Schöls L, Reversade B.","Nat Commun. 2020 Jan 30;11(1):595. doi: 10.1038/s41467-020-14360-7.","Hengel H","Nat Commun","2020","2020/02/01","PMC6992768","","10.1038/s41467-020-14360-7"
"32515017","SCN3A-Related Neurodevelopmental Disorder: A Spectrum of Epilepsy and Brain Malformation","Zaman T, Helbig KL, Clatot J, Thompson CH, Kang SK, Stouffs K, Jansen AE, Verstraete L, Jacquinet A, Parrini E, Guerrini R, Fujiwara Y, Miyatake S, Ben-Zeev B, Bassan H, Reish O, Marom D, Hauser N, Vu TA, Ackermann S, Spencer CE, Lippa N, Srinivasan S, Charzewska A, Hoffman-Zacharska D, Fitzpatrick D, Harrison V, Vasudevan P, Joss S, Pilz DT, Fawcett KA, Helbig I, Matsumoto N, Kearney JA, Fry AE, Goldberg EM.","Ann Neurol. 2020 Aug;88(2):348-362. doi: 10.1002/ana.25809. Epub 2020 Jul 9.","Zaman T","Ann Neurol","2020","2020/06/10","PMC8552104","NIHMS1748544","10.1002/ana.25809"
"30982612","Bi-allelic Loss-of-Function CACNA1B Mutations in Progressive Epilepsy-Dyskinesia","Gorman KM, Meyer E, Grozeva D, Spinelli E, McTague A, Sanchis-Juan A, Carss KJ, Bryant E, Reich A, Schneider AL, Pressler RM, Simpson MA, Debelle GD, Wassmer E, Morton J, Sieciechowicz D, Jan-Kamsteeg E, Paciorkowski AR, King MD, Cross JH, Poduri A, Mefford HC, Scheffer IE, Haack TB, McCullagh G; Deciphering Developmental Disorders Study; UK10K Consortium; NIHR BioResource, Millichap JJ, Carvill GL, Clayton-Smith J, Maher ER, Raymond FL, Kurian MA.","Am J Hum Genet. 2019 May 2;104(5):948-956. doi: 10.1016/j.ajhg.2019.03.005. Epub 2019 Apr 11.","Gorman KM","Am J Hum Genet","2019","2019/04/16","PMC6507039","","10.1016/j.ajhg.2019.03.005"
"31444548","Dissecting the genetic basis of focal cortical dysplasia: a large cohort study","Baldassari S, Ribierre T, Marsan E, Adle-Biassette H, Ferrand-Sorbets S, Bulteau C, Dorison N, Fohlen M, Polivka M, Weckhuysen S, Dorfmüller G, Chipaux M, Baulac S.","Acta Neuropathol. 2019 Dec;138(6):885-900. doi: 10.1007/s00401-019-02061-5. Epub 2019 Aug 23.","Baldassari S","Acta Neuropathol","2019","2019/08/25","PMC6851393","","10.1007/s00401-019-02061-5"
